Ref: C8zY0oAdQrs
AUDIO SEGMENT (start_sec duration_sec):
338.16 15.68
RGB:
FRAME X Y W H
008575 0.000 0.000 1.000 1.000
008576 0.000 0.000 1.000 1.000
008577 0.000 0.000 1.000 1.000
008578 0.000 0.000 1.000 1.000
008579 0.000 0.000 1.000 1.000
008580 0.000 0.000 1.000 1.000
008581 0.000 0.000 1.000 1.000
008582 0.000 0.000 1.000 1.000
008583 0.000 0.000 1.000 1.000
008584 0.000 0.000 1.000 1.000
008585 0.000 0.000 1.000 1.000
008586 0.000 0.000 1.000 1.000
008587 0.000 0.000 1.000 1.000
008588 0.000 0.000 1.000 1.000
008589 0.000 0.000 1.000 1.000
008590 0.000 0.000 1.000 1.000
008591 0.000 0.000 1.000 1.000
008592 0.000 0.000 1.000 1.000
008593 0.000 0.000 1.000 1.000
008594 0.000 0.000 1.000 1.000
008595 0.000 0.000 1.000 1.000
008596 0.000 0.000 1.000 1.000
008597 0.000 0.000 1.000 1.000
008598 0.000 0.000 1.000 1.000
008599 0.000 0.000 1.000 1.000
008600 0.000 0.000 1.000 1.000
008601 0.000 0.000 1.000 1.000
008602 0.000 0.000 1.000 1.000
008603 0.000 0.000 1.000 1.000
008604 0.000 0.000 1.000 1.000
008605 0.000 0.000 1.000 1.000
008606 0.000 0.000 1.000 1.000
008607 0.000 0.000 1.000 1.000
008608 0.000 0.000 1.000 1.000
008609 0.000 0.000 1.000 1.000
008610 0.000 0.000 1.000 1.000
008611 0.000 0.000 1.000 1.000
008612 0.000 0.000 1.000 1.000
008613 0.000 0.000 1.000 1.000
008614 0.000 0.000 1.000 1.000
008615 0.000 0.000 1.000 1.000
008616 0.000 0.000 1.000 1.000
008617 0.000 0.000 1.000 1.000
008618 0.000 0.000 1.000 1.000
008619 0.000 0.000 1.000 1.000
008620 0.000 0.000 1.000 1.000
008621 0.000 0.000 1.000 1.000
008622 0.000 0.000 1.000 1.000
008623 0.000 0.000 1.000 1.000
008624 0.000 0.000 1.000 1.000
008625 0.000 0.000 1.000 1.000
008626 0.000 0.000 1.000 1.000
008627 0.000 0.000 1.000 1.000
008628 0.000 0.000 1.000 1.000
008629 0.000 0.000 1.000 1.000
008630 0.000 0.000 1.000 1.000
008631 0.000 0.000 1.000 1.000
008632 0.000 0.000 1.000 1.000
008633 0.000 0.000 1.000 1.000
008634 0.000 0.000 1.000 1.000
008635 0.000 0.000 1.000 1.000
008636 0.000 0.000 1.000 1.000
008637 0.000 0.000 1.000 1.000
008638 0.000 0.000 1.000 1.000
008639 0.000 0.000 1.000 1.000
008640 0.000 0.000 1.000 1.000
008641 0.000 0.000 1.000 1.000
008642 0.000 0.000 1.000 1.000
008643 0.000 0.000 1.000 1.000
008644 0.000 0.000 1.000 1.000
008645 0.000 0.000 1.000 1.000
008646 0.000 0.000 1.000 1.000
008647 0.000 0.000 1.000 1.000
008648 0.000 0.000 1.000 1.000
008649 0.000 0.000 1.000 1.000
008650 0.000 0.000 1.000 1.000
008651 0.000 0.000 1.000 1.000
008652 0.000 0.000 1.000 1.000
008653 0.000 0.000 1.000 1.000
008654 0.000 0.000 1.000 1.000
008655 0.000 0.000 1.000 1.000
008656 0.000 0.000 1.000 1.000
008657 0.000 0.000 1.000 1.000
008658 0.000 0.000 1.000 1.000
008659 0.000 0.000 1.000 1.000
008660 0.000 0.000 1.000 1.000
008661 0.000 0.000 1.000 1.000
008662 0.000 0.000 1.000 1.000
008663 0.000 0.000 1.000 1.000
008664 0.000 0.000 1.000 1.000
008665 0.000 0.000 1.000 1.000
008666 0.000 0.000 1.000 1.000
008667 0.000 0.000 1.000 1.000
008668 0.000 0.000 1.000 1.000
008669 0.000 0.000 1.000 1.000
008670 0.000 0.000 1.000 1.000
008671 0.000 0.000 1.000 1.000
008672 0.000 0.000 1.000 1.000
008673 0.000 0.000 1.000 1.000
008674 0.000 0.000 1.000 1.000
008675 0.000 0.000 1.000 1.000
008676 0.000 0.000 1.000 1.000
008677 0.000 0.000 1.000 1.000
008678 0.000 0.000 1.000 1.000
008679 0.000 0.000 1.000 1.000
008680 0.000 0.000 1.000 1.000
008681 0.000 0.000 1.000 1.000
008682 0.000 0.000 1.000 1.000
008683 0.000 0.000 1.000 1.000
008684 0.000 0.000 1.000 1.000
008685 0.000 0.000 1.000 1.000
008686 0.000 0.000 1.000 1.000
008687 0.000 0.000 1.000 1.000
008688 0.000 0.000 1.000 1.000
008689 0.000 0.000 1.000 1.000
008690 0.000 0.000 1.000 1.000
008691 0.000 0.000 1.000 1.000
008692 0.000 0.000 1.000 1.000
008693 0.000 0.000 1.000 1.000
008694 0.000 0.000 1.000 1.000
008695 0.000 0.000 1.000 1.000
008696 0.000 0.000 1.000 1.000
008697 0.000 0.000 1.000 1.000
008698 0.000 0.000 1.000 1.000
008699 0.000 0.000 1.000 1.000
008700 0.000 0.000 1.000 1.000
008701 0.000 0.000 1.000 1.000
008702 0.000 0.000 1.000 1.000
008703 0.000 0.000 1.000 1.000
008704 0.000 0.000 1.000 1.000
008705 0.000 0.000 1.000 1.000
008706 0.000 0.000 1.000 1.000
008707 0.000 0.000 1.000 1.000
008708 0.000 0.000 1.000 1.000
008709 0.000 0.000 1.000 1.000
008710 0.000 0.000 1.000 1.000
008711 0.000 0.000 1.000 1.000
008712 0.000 0.000 1.000 1.000
008713 0.000 0.000 1.000 1.000
008714 0.000 0.000 1.000 1.000
008715 0.000 0.000 1.000 1.000
008716 0.000 0.000 1.000 1.000
008717 0.000 0.000 1.000 1.000
008718 0.000 0.000 1.000 1.000
008719 0.000 0.000 1.000 1.000
008720 0.000 0.000 1.000 1.000
008721 0.000 0.000 1.000 1.000
008722 0.000 0.000 1.000 1.000
008723 0.000 0.000 1.000 1.000
008724 0.000 0.000 1.000 1.000
008725 0.000 0.000 1.000 1.000
008726 0.000 0.000 1.000 1.000
008727 0.000 0.000 1.000 1.000
008728 0.000 0.000 1.000 1.000
008729 0.000 0.000 1.000 1.000
008730 0.000 0.000 1.000 1.000
008731 0.000 0.000 1.000 1.000
008732 0.000 0.000 1.000 1.000
008733 0.000 0.000 1.000 1.000
008734 0.000 0.000 1.000 1.000
008735 0.000 0.000 1.000 1.000
008736 0.000 0.000 1.000 1.000
008737 0.000 0.000 1.000 1.000
008738 0.000 0.000 1.000 1.000
008739 0.000 0.000 1.000 1.000
008740 0.000 0.000 1.000 1.000
008741 0.000 0.000 1.000 1.000
008742 0.000 0.000 1.000 1.000
008743 0.000 0.000 1.000 1.000
008744 0.000 0.000 1.000 1.000
008745 0.000 0.000 1.000 1.000
008746 0.000 0.000 1.000 1.000
008747 0.000 0.000 1.000 1.000
008748 0.000 0.000 1.000 1.000
008749 0.000 0.000 1.000 1.000
008750 0.000 0.000 1.000 1.000
008751 0.000 0.000 1.000 1.000
008752 0.000 0.000 1.000 1.000
008753 0.000 0.000 1.000 1.000
008754 0.000 0.000 1.000 1.000
008755 0.000 0.000 1.000 1.000
008756 0.000 0.000 1.000 1.000
008757 0.000 0.000 1.000 1.000
008758 0.000 0.000 1.000 1.000
008759 0.000 0.000 1.000 1.000
008760 0.000 0.000 1.000 1.000
008761 0.000 0.000 1.000 1.000
008762 0.000 0.000 1.000 1.000
008763 0.000 0.000 1.000 1.000
008764 0.000 0.000 1.000 1.000
008765 0.000 0.000 1.000 1.000
008766 0.000 0.000 1.000 1.000
008767 0.000 0.000 1.000 1.000
008768 0.000 0.000 1.000 1.000
008769 0.000 0.000 1.000 1.000
008770 0.000 0.000 1.000 1.000
008771 0.000 0.000 1.000 1.000
008772 0.000 0.000 1.000 1.000
008773 0.000 0.000 1.000 1.000
008774 0.000 0.000 1.000 1.000
008775 0.000 0.000 1.000 1.000
008776 0.000 0.000 1.000 1.000
008777 0.000 0.000 1.000 1.000
008778 0.000 0.000 1.000 1.000
008779 0.000 0.000 1.000 1.000
008780 0.000 0.000 1.000 1.000
008781 0.000 0.000 1.000 1.000
008782 0.000 0.000 1.000 1.000
008783 0.000 0.000 1.000 1.000
008784 0.000 0.000 1.000 1.000
008785 0.000 0.000 1.000 1.000
008786 0.000 0.000 1.000 1.000
008787 0.000 0.000 1.000 1.000
008788 0.000 0.000 1.000 1.000
008789 0.000 0.000 1.000 1.000
008790 0.000 0.000 1.000 1.000
008791 0.000 0.000 1.000 1.000
008792 0.000 0.000 1.000 1.000
008793 0.000 0.000 1.000 1.000
008794 0.000 0.000 1.000 1.000
008795 0.000 0.000 1.000 1.000
008796 0.000 0.000 1.000 1.000
008797 0.000 0.000 1.000 1.000
008798 0.000 0.000 1.000 1.000
008799 0.000 0.000 1.000 1.000
008800 0.000 0.000 1.000 1.000
008801 0.000 0.000 1.000 1.000
008802 0.000 0.000 1.000 1.000
008803 0.000 0.000 1.000 1.000
008804 0.000 0.000 1.000 1.000
008805 0.000 0.000 1.000 1.000
008806 0.000 0.000 1.000 1.000
008807 0.000 0.000 1.000 1.000
008808 0.000 0.000 1.000 1.000
008809 0.000 0.000 1.000 1.000
008810 0.000 0.000 1.000 1.000
008811 0.000 0.000 1.000 1.000
008812 0.000 0.000 1.000 1.000
008813 0.000 0.000 1.000 1.000
008814 0.000 0.000 1.000 1.000
008815 0.000 0.000 1.000 1.000
008816 0.000 0.000 1.000 1.000
008817 0.000 0.000 1.000 1.000
008818 0.000 0.000 1.000 1.000
008819 0.000 0.000 1.000 1.000
008820 0.000 0.000 1.000 1.000
008821 0.000 0.000 1.000 1.000
008822 0.000 0.000 1.000 1.000
008823 0.000 0.000 1.000 1.000
008824 0.000 0.000 1.000 1.000
008825 0.000 0.000 1.000 1.000
008826 0.000 0.000 1.000 1.000
008827 0.000 0.000 1.000 1.000
008828 0.000 0.000 1.000 1.000
008829 0.000 0.000 1.000 1.000
008830 0.000 0.000 1.000 1.000
008831 0.000 0.000 1.000 1.000
008832 0.000 0.000 1.000 1.000
008833 0.000 0.000 1.000 1.000
008834 0.000 0.000 1.000 1.000
008835 0.000 0.000 1.000 1.000
008836 0.000 0.000 1.000 1.000
008837 0.000 0.000 1.000 1.000
008838 0.000 0.000 1.000 1.000
008839 0.000 0.000 1.000 1.000
008840 0.000 0.000 1.000 1.000
008841 0.000 0.000 1.000 1.000
008842 0.000 0.000 1.000 1.000
008843 0.000 0.000 1.000 1.000
008844 0.000 0.000 1.000 1.000
008845 0.000 0.000 1.000 1.000
008846 0.000 0.000 1.000 1.000
