Ref: C8zY0oAdQrs
AUDIO SEGMENT (start_sec duration_sec):
338.16 15.68
RGB:
FRAME X Y W H
008567 0.686 0.138 0.076 0.135
008568 0.686 0.135 0.076 0.135
008569 0.687 0.135 0.077 0.136
008570 0.684 0.135 0.078 0.139
008571 0.684 0.132 0.080 0.142
008572 0.682 0.132 0.080 0.142
008573 0.679 0.136 0.080 0.142
008574 0.677 0.136 0.078 0.139
008575 0.675 0.135 0.080 0.142
008576 0.673 0.136 0.079 0.140
008577 0.671 0.138 0.076 0.135
008578 0.663 0.135 0.080 0.142
008579 0.661 0.131 0.080 0.142
008580 0.657 0.128 0.080 0.143
008581 0.654 0.132 0.078 0.139
008582 0.651 0.129 0.078 0.139
008583 0.645 0.128 0.078 0.139
008584 0.636 0.125 0.082 0.146
008585 0.630 0.121 0.084 0.149
008586 0.627 0.119 0.084 0.150
008587 0.625 0.125 0.080 0.142
008588 0.623 0.125 0.078 0.139
008589 0.617 0.124 0.079 0.140
008590 0.614 0.125 0.078 0.139
008591 0.612 0.125 0.078 0.139
008592 0.609 0.124 0.078 0.139
008593 0.607 0.124 0.079 0.140
008594 0.603 0.125 0.077 0.138
008595 0.602 0.128 0.077 0.138
008596 0.599 0.133 0.077 0.136
008597 0.599 0.136 0.074 0.132
008598 0.600 0.139 0.073 0.131
008599 0.597 0.142 0.077 0.138
008600 0.595 0.142 0.080 0.142
008601 0.591 0.140 0.084 0.149
008602 0.592 0.142 0.080 0.142
008603 0.593 0.142 0.075 0.133
008604 0.592 0.139 0.073 0.129
008605 0.591 0.139 0.076 0.135
008606 0.591 0.139 0.077 0.136
008607 0.591 0.138 0.077 0.138
008608 0.592 0.138 0.076 0.135
008609 0.595 0.142 0.072 0.128
008610 0.592 0.140 0.073 0.129
008611 0.593 0.139 0.072 0.128
008612 0.592 0.139 0.073 0.129
008613 0.593 0.139 0.073 0.131
008614 0.591 0.138 0.077 0.138
008615 0.590 0.136 0.078 0.139
008616 0.589 0.138 0.078 0.139
008617 0.591 0.138 0.076 0.135
008618 0.590 0.138 0.077 0.136
008619 0.588 0.136 0.076 0.135
008620 0.590 0.136 0.074 0.132
008621 0.591 0.136 0.074 0.132
008622 0.590 0.135 0.074 0.132
008623 0.591 0.133 0.076 0.135
008624 0.591 0.131 0.078 0.139
008625 0.591 0.128 0.078 0.139
008626 0.591 0.125 0.077 0.136
008627 0.591 0.122 0.076 0.135
008628 0.591 0.121 0.076 0.135
008629 0.589 0.118 0.080 0.142
008630 0.589 0.117 0.079 0.140
008631 0.591 0.118 0.075 0.133
008632 0.591 0.117 0.076 0.135
008633 0.589 0.115 0.077 0.138
008634 0.587 0.111 0.082 0.146
008635 0.585 0.110 0.084 0.150
008636 0.586 0.110 0.084 0.150
008637 0.587 0.110 0.082 0.146
008638 0.588 0.110 0.082 0.146
008639 0.588 0.111 0.080 0.142
008640 0.587 0.110 0.081 0.144
008641 0.587 0.108 0.082 0.146
008642 0.587 0.108 0.080 0.143
008643 0.586 0.107 0.082 0.146
008644 0.581 0.103 0.088 0.157
008645 0.581 0.100 0.089 0.158
008646 0.581 0.097 0.088 0.157
008647 0.581 0.097 0.089 0.158
008648 0.580 0.096 0.090 0.160
008649 0.579 0.096 0.089 0.158
008650 0.579 0.096 0.087 0.154
008651 0.578 0.096 0.086 0.153
008652 0.579 0.096 0.086 0.153
008653 0.576 0.094 0.086 0.153
008654 0.570 0.092 0.092 0.164
008655 0.567 0.090 0.093 0.165
008656 0.565 0.089 0.093 0.165
008657 0.562 0.086 0.095 0.168
008658 0.558 0.083 0.096 0.171
008659 0.555 0.078 0.093 0.165
008660 0.553 0.078 0.092 0.164
008661 0.552 0.076 0.092 0.164
008662 0.553 0.078 0.088 0.157
008663 0.551 0.075 0.090 0.160
008664 0.548 0.074 0.090 0.160
008665 0.548 0.074 0.089 0.158
008666 0.545 0.074 0.090 0.160
008667 0.544 0.074 0.091 0.163
008668 0.543 0.075 0.092 0.164
008669 0.537 0.075 0.100 0.178
008670 0.535 0.076 0.104 0.185
008671 0.535 0.078 0.104 0.185
008672 0.533 0.082 0.105 0.186
008673 0.532 0.083 0.105 0.186
008674 0.534 0.092 0.099 0.176
008675 0.535 0.094 0.098 0.174
008676 0.535 0.097 0.097 0.172
008677 0.534 0.097 0.099 0.176
008678 0.535 0.099 0.100 0.178
008679 0.538 0.100 0.100 0.178
008680 0.537 0.099 0.101 0.179
008681 0.537 0.099 0.102 0.181
008682 0.537 0.100 0.103 0.183
008683 0.537 0.101 0.104 0.185
008684 0.536 0.104 0.106 0.189
008685 0.541 0.110 0.102 0.182
008686 0.541 0.114 0.101 0.179
008687 0.542 0.117 0.100 0.178
008688 0.545 0.118 0.099 0.176
008689 0.548 0.119 0.099 0.176
008690 0.550 0.121 0.098 0.175
008691 0.550 0.121 0.099 0.176
008692 0.551 0.122 0.098 0.175
008693 0.551 0.122 0.099 0.176
008694 0.554 0.125 0.099 0.176
008695 0.555 0.126 0.098 0.174
008696 0.554 0.125 0.098 0.175
008697 0.550 0.119 0.106 0.189
008698 0.548 0.122 0.108 0.192
008699 0.548 0.129 0.110 0.196
008700 0.550 0.133 0.108 0.192
008701 0.551 0.139 0.106 0.189
008702 0.552 0.140 0.106 0.189
008703 0.552 0.140 0.106 0.189
008704 0.552 0.139 0.106 0.189
008705 0.553 0.138 0.105 0.186
008706 0.552 0.135 0.106 0.189
008707 0.552 0.133 0.106 0.189
008708 0.552 0.132 0.108 0.192
008709 0.551 0.128 0.110 0.196
008710 0.550 0.126 0.112 0.199
008711 0.551 0.126 0.113 0.200
008712 0.551 0.128 0.112 0.199
008713 0.552 0.128 0.114 0.203
008714 0.552 0.125 0.114 0.203
008715 0.553 0.125 0.113 0.201
008716 0.552 0.125 0.116 0.206
008717 0.552 0.125 0.116 0.207
008718 0.550 0.126 0.116 0.207
008719 0.550 0.132 0.116 0.207
008720 0.548 0.132 0.117 0.208
008721 0.548 0.133 0.116 0.206
008722 0.548 0.132 0.117 0.208
008723 0.548 0.132 0.118 0.210
008724 0.545 0.124 0.122 0.217
008725 0.546 0.121 0.119 0.211
008726 0.547 0.118 0.118 0.210
008727 0.548 0.117 0.117 0.208
008728 0.548 0.114 0.116 0.207
008729 0.548 0.107 0.117 0.208
008730 0.547 0.104 0.119 0.211
008731 0.548 0.103 0.120 0.214
008732 0.548 0.100 0.120 0.214
008733 0.549 0.096 0.120 0.214
008734 0.556 0.093 0.120 0.212
008735 0.556 0.092 0.120 0.214
008736 0.559 0.093 0.119 0.211
008737 0.557 0.089 0.123 0.219
008738 0.559 0.089 0.123 0.218
008739 0.564 0.089 0.123 0.218
008740 0.569 0.092 0.116 0.207
008741 0.568 0.092 0.120 0.212
008742 0.571 0.093 0.117 0.208
008743 0.573 0.092 0.120 0.214
008744 0.577 0.106 0.119 0.211
008745 0.581 0.107 0.123 0.218
008746 0.584 0.104 0.123 0.218
008747 0.586 0.107 0.120 0.214
008748 0.590 0.108 0.120 0.212
008749 0.593 0.108 0.119 0.211
008750 0.595 0.089 0.136 0.242
008751 0.602 0.092 0.134 0.239
008752 0.605 0.090 0.137 0.243
008753 0.616 0.110 0.120 0.214
008754 0.622 0.110 0.120 0.212
008755 0.630 0.110 0.120 0.214
008756 0.639 0.110 0.122 0.217
008757 0.645 0.111 0.118 0.210
008758 0.647 0.110 0.123 0.219
008759 0.644 0.090 0.142 0.253
008760 0.650 0.089 0.141 0.250
008761 0.650 0.089 0.142 0.253
008762 0.652 0.090 0.141 0.251
008763 0.653 0.090 0.141 0.251
008764 0.654 0.094 0.141 0.251
008765 0.657 0.106 0.136 0.242
008766 0.656 0.107 0.136 0.242
008767 0.655 0.107 0.137 0.243
008768 0.654 0.110 0.136 0.242
008769 0.653 0.110 0.137 0.243
008770 0.654 0.113 0.135 0.240
008771 0.654 0.115 0.134 0.237
008772 0.653 0.115 0.134 0.237
008773 0.654 0.117 0.133 0.236
008774 0.653 0.117 0.134 0.237
008775 0.650 0.114 0.134 0.239
008776 0.647 0.113 0.135 0.240
008777 0.647 0.111 0.134 0.239
008778 0.647 0.111 0.135 0.240
008779 0.646 0.107 0.138 0.246
008780 0.647 0.097 0.140 0.249
008781 0.647 0.092 0.140 0.249
008782 0.648 0.092 0.138 0.244
008783 0.648 0.092 0.137 0.243
008784 0.646 0.092 0.138 0.244
008785 0.642 0.096 0.145 0.257
008786 0.645 0.101 0.142 0.253
008787 0.645 0.104 0.142 0.253
008788 0.645 0.104 0.141 0.250
008789 0.645 0.107 0.141 0.250
008790 0.648 0.117 0.134 0.239
008791 0.649 0.119 0.135 0.240
008792 0.649 0.122 0.137 0.243
008793 0.648 0.125 0.141 0.250
008794 0.650 0.128 0.140 0.249
008795 0.651 0.135 0.134 0.239
008796 0.652 0.139 0.133 0.236
008797 0.652 0.140 0.133 0.236
008798 0.652 0.140 0.133 0.236
008799 0.652 0.142 0.132 0.235
008800 0.652 0.142 0.133 0.236
008801 0.652 0.140 0.133 0.236
008802 0.652 0.142 0.132 0.235
008803 0.652 0.139 0.132 0.235
008804 0.652 0.138 0.133 0.236
008805 0.651 0.135 0.135 0.240
008806 0.649 0.132 0.138 0.244
008807 0.648 0.131 0.138 0.246
008808 0.647 0.128 0.140 0.249
008809 0.648 0.125 0.141 0.251
008810 0.646 0.121 0.144 0.256
008811 0.645 0.118 0.145 0.257
008812 0.645 0.117 0.145 0.257
008813 0.646 0.117 0.144 0.256
008814 0.644 0.115 0.145 0.257
008815 0.645 0.117 0.141 0.250
008816 0.645 0.117 0.140 0.249
008817 0.646 0.117 0.138 0.246
008818 0.645 0.117 0.138 0.244
008819 0.646 0.117 0.137 0.243
008820 0.645 0.114 0.137 0.243
008821 0.645 0.113 0.137 0.243
008822 0.646 0.113 0.134 0.239
008823 0.647 0.111 0.135 0.240
008824 0.648 0.106 0.138 0.244
008825 0.652 0.108 0.133 0.236
008826 0.654 0.110 0.132 0.235
008827 0.652 0.103 0.136 0.242
008828 0.654 0.103 0.137 0.243
008829 0.653 0.100 0.138 0.244
008830 0.653 0.097 0.134 0.237
008831 0.654 0.097 0.134 0.237
008832 0.653 0.096 0.134 0.239
008833 0.650 0.093 0.138 0.246
008834 0.650 0.092 0.138 0.246
008835 0.652 0.096 0.138 0.244
008836 0.652 0.096 0.138 0.246
008837 0.654 0.100 0.138 0.244
008838 0.650 0.100 0.139 0.247
008839 0.649 0.101 0.138 0.246
008840 0.645 0.113 0.138 0.244
008841 0.644 0.114 0.137 0.243
008842 0.644 0.117 0.136 0.242
008843 0.645 0.117 0.137 0.243
008844 0.645 0.117 0.137 0.243
008845 0.646 0.117 0.139 0.247
008846 0.649 0.113 0.140 0.249
